[7.5174061e-11 1.2093131e-13 2.1911371e-13 4.0405399e-09 3.7953696e-15
 9.5393346e-12 3.6134931e-08 9.9973255e-01 1.6335410e-09 5.7846076e-12
 2.5794815e-04 3.1222167e-12 4.3077816e-13 5.4104146e-07 9.7480973e-12
 2.7985918e-09 1.8183287e-10 1.2127360e-06 1.6272279e-13 2.0995494e-09
 1.4333150e-07 2.7132513e-11 1.1451859e-06 4.2255756e-12 3.8090218e-13
 3.1562056e-06 4.6671337e-13 2.7523088e-06 1.9960085e-09 4.0830250e-09
 4.8974209e-07 1.0265018e-08 1.9224561e-12 2.3222521e-13 2.1158156e-12
 2.2489035e-09 2.2289361e-08 2.1050579e-10]
[6.4063736e-04 1.2433000e-12 6.0735461e-13 2.3950514e-07 2.5582145e-12
 8.8186758e-12 2.0263316e-03 7.7265622e-06 2.8744356e-08 1.8781755e-14
 1.7152462e-07 1.1906838e-08 1.0779124e-06 7.7382702e-01 2.3833798e-02
 6.9525704e-04 1.9583471e-17 9.2917520e-07 2.1361109e-12 2.2603185e-03
 1.9584285e-01 5.6193467e-11 7.0294950e-06 1.2259708e-08 6.5141864e-13
 2.8314011e-07 1.3768557e-07 2.3504703e-05 7.2354235e-04 1.5039552e-05
 9.5400467e-12 1.1725460e-06 2.5574769e-09 4.1206764e-15 1.8144274e-07
 1.7599353e-11 5.0874350e-11 9.2800095e-05]
 4.87782370e-10 3.47409487e-01 6.02374484e-10 1.17447489e-05
 4.47408420e-05 2.10672497e-05 1.23713860e-07 5.67365380e-04
 1.26847386e-08 4.38406473e-12 1.66347434e-07 1.30010136e-08
 1.12693022e-09 8.01428428e-07]
[1.39059807e-07 3.88749966e-09 6.10446502e-12 6.74750390e-06
 2.84805968e-12 6.04563466e-09 6.88518185e-06 1.78902538e-03
 2.29443870e-07 3.49840957e-06 7.26502680e-04 3.53824303e-10
 1.10837748e-08 3.03551843e-07 8.12920620e-10 8.04409706e-10
 1.91278374e-07 9.93083745e-07 4.22253787e-09 2.80364665e-09
 5.63507058e-07 9.81703496e-10 5.94609617e-07 7.90826427e-09
 1.21692212e-08 9.97437716e-01 1.09885136e-10 4.25743394e-07
 2.66552411e-06 9.67361984e-07 2.21002156e-05 1.98877160e-07
 2.59801496e-08 2.20182709e-11 1.34960814e-07 7.63450192e-09
 3.81452168e-08 2.23889423e-08]
[2.39754969e-04 8.29505442e-09 6.52523156e-08 1.02152189e-05
 1.10865372e-07 7.84599408e-09 4.77624824e-04 5.90214654e-07
 3.44997598e-12 1.80309081e-16 3.69548552e-08 3.42587084e-01
 5.73261816e-04 3.27264458e-01 3.54957730e-02 5.76308707e-07
 6.55055843e-10 1.02483064e-07 9.74175194e-08 4.28142361e-02
 1.41371235e-01 1.19772403e-06 1.81078594e-02 7.74216460e-05
 2.14623901e-06 1.96319803e-07 1.33915364e-07 8.55793282e-02
 1.83176569e-04 4.04989587e-05 5.68594238e-09 7.41967312e-07
 1.31520721e-07 5.44875978e-10 5.03274845e-03 3.12055477e-07
 1.49297603e-06 1.37290350e-04]
[3.5707696e-04 1.0751584e-06 3.0839372e-05 1.3481129e-05 4.2414004e-07
 1.5040657e-04 2.5047165e-01 1.1706511e-05 2.1545031e-06 6.4484675e-11
 2.8185030e-07 1.6348141e-09 4.5202771e-05 4.2133532e-05 2.2198469e-07
 4.2719219e-04 2.0778522e-08 4.3652537e-07 1.4492667e-04 4.7148904e-04
 9.8127410e-02 3.0896867e-02 2.2256937e-02 1.9284656e-05 2.7744211e-06
 1.3886145e-04 1.3405406e-02 4.5074336e-03 1.3060597e-03 5.7675350e-01
 1.8568029e-05 1.7682921e-04 6.6800294e-06 1.8828811e-08 9.1255115e-06
 4.9371255e-07 1.9592194e-04 7.1185286e-06]
[2.50857446e-09 2.05098189e-07 2.15789296e-11 8.82482798e-09
 8.89152696e-10 5.98365690e-14 3.15836690e-10 1.85295994e-06
 1.16991500e-10 4.95289850e-19 1.96003057e-07 2.22240101e-06
 3.43068821e-15 6.16748935e-07 1.18624312e-11 2.89700594e-16
 3.84331470e-05 2.63108664e-08 1.06361734e-11 5.11181679e-06
 8.30022691e-06 2.79040595e-08 2.43792442e-06 2.58434274e-09
 5.44434671e-11 2.45080500e-05 4.56513679e-13 5.05066566e-07
 5.16143264e-05 6.20645918e-02 1.03059866e-01 1.12699026e-05
 9.84762849e-08 4.94580718e-07 1.04903419e-08 3.32013220e-01
 5.02714336e-01 9.70343805e-10]
[4.98826353e-07 8.76158383e-03 3.55145615e-03 9.51842189e-01
 1.37965113e-03 6.42781961e-09 6.19106459e-06 3.17304603e-06
 1.70901316e-07 1.73708074e-16 2.29495551e-08 2.48665515e-06
 4.69503107e-07 4.52714701e-08 2.21785683e-08 6.99017333e-09
 6.30316499e-05 1.45833355e-05 7.30207034e-07 1.98929780e-03
 2.97289453e-02 1.71818938e-05 4.02086065e-04 2.25347510e-08
 1.20707910e-09 2.93380396e-08 2.60322139e-07 1.37596007e-03
 1.54255702e-08 4.20574041e-04 3.54465968e-08 2.37006941e-04
 8.23061583e-08 2.99600124e-05 3.64733096e-05 7.64693177e-05
 5.92734941e-05 5.35023936e-08]
[3.0479394e-04 1.5906627e-09 7.7260296e-09 2.1241042e-06 1.7356566e-06
 2.1473686e-03 3.4824928e-04 7.9037275e-09 1.8656184e-11 8.7918103e-11
 2.8105207e-10 1.9148533e-04 7.7071726e-02 6.8991905e-04 3.8343590e-02
 6.2737825e-05 1.3373892e-09 1.5777001e-09 2.1028754e-03 9.0821513e-06
 1.3088398e-06 2.7154500e-04 7.9127640e-05 8.6339176e-01 3.9520944e-04
 1.0897641e-06 2.3296661e-06 1.4172631e-05 1.4831538e-04 8.0158337e-08
 4.9421195e-10 6.2513404e-06 5.3648819e-06 7.7526909e-12 1.4405556e-02
 3.3622922e-09 9.3883261e-07 1.2911325e-06]
[1.4894830e-12 4.5754530e-15 5.3867143e-17 7.6684156e-13 2.1004020e-17
 3.9992942e-18 5.7911571e-11 9.4560454e-07 1.4356980e-09 8.3549583e-16
 9.9879104e-01 1.1884800e-16 5.1229053e-19 4.8680310e-10 7.7889968e-13
 2.0614348e-10 1.2632405e-15 5.9784122e-04 2.3672345e-19 1.7122335e-09
 1.3840665e-06 4.0862085e-18 5.7671659e-09 2.8725827e-19 6.2220778e-18
 3.8686983e-04 9.3215091e-18 2.1438702e-04 5.1784301e-08 2.2026984e-07
 1.8330652e-14 7.3163369e-06 2.0060938e-15 2.1812821e-18 2.6428341e-13
 5.9557788e-12 2.4293837e-15 4.7991651e-13]
[2.60732724e-09 1.02744679e-11 6.67001288e-10 2.93129543e-09
 1.13596063e-13 9.60750715e-11 5.81504952e-04 1.03885803e-04
 5.59248292e-09 8.68279624e-13 2.88726767e-07 1.52177240e-12
 2.58803460e-12 2.99125759e-07 4.32182796e-11 4.80365476e-13
 8.93960987e-07 1.20798149e-09 3.52629536e-12 4.08193905e-08
 9.99309778e-01 3.72620349e-07 1.75595165e-08 1.64570198e-11
 3.02552594e-10 8.06672347e-08 1.28005759e-10 2.08892729e-07
 2.54520558e-12 4.69241030e-07 8.02511906e-08 1.99982333e-06
 5.71466323e-13 1.03789707e-16 2.44965159e-09 4.03461905e-13
 4.17653823e-09 1.57018509e-10]
[1.91886031e-07 2.76665576e-03 2.81389430e-02 1.65825468e-02
 9.26768899e-01 1.41893415e-05 1.72117800e-02 2.73425103e-05
 1.17583470e-04 2.83597701e-10 1.44498884e-08 3.32776202e-11
 5.01491711e-04 1.32874574e-08 1.95553582e-08 5.86208898e-07
 6.09121253e-06 1.56066177e-04 6.11042424e-06 4.54492183e-05
 6.56127324e-03 3.79394565e-04 1.69482722e-04 6.10762374e-09
 2.16666152e-09 3.03524561e-09 3.73554445e-04 6.79810910e-06
 6.18110363e-09 3.74597039e-05 3.36753758e-09 3.23029089e-05
 8.10213260e-06 5.28393466e-05 2.31287977e-05 2.66707474e-08
 1.16123574e-05 1.63420367e-07]
[1.7877409e-04 8.0843383e-06 4.7350204e-06 1.0133013e-05 7.3212933e-09
 1.1763462e-05 4.6888417e-05 6.1123821e-05 7.9721332e-07 1.3947748e-12
 5.0230848e-04 5.3337760e-07 1.4623092e-07 9.0597785e-04 4.4856686e-02
 3.0982264e-06 9.7771726e-06 3.8988949e-03 2.8435857e-06 1.0001528e-01
 3.6948931e-03 6.2440755e-05 6.7015230e-03 8.6786611e-05 3.0013780e-08
 1.3527639e-04 6.7507827e-08 1.9397002e-03 2.3740458e-03 2.8994884e-03
 4.4864080e-07 8.3137602e-01 1.9191571e-04 5.4846299e-07 2.9044420e-06
 2.8665827e-06 8.2162778e-06 4.9535306e-06]
[2.4219411e-09 1.8258184e-12 7.7197987e-14 4.3307721e-13 3.7422084e-12
 2.5001720e-08 6.8870322e-12 9.8282538e-09 1.3233624e-10 7.4928839e-21
 1.5200308e-11 2.5188410e-14 9.4730279e-18 8.5917055e-12 5.1994579e-08
 9.9995315e-01 1.8318362e-15 2.4759979e-08 2.6937612e-16 1.3391808e-07
 4.5793157e-12 1.4318457e-14 3.8574033e-10 4.5490451e-13 2.2160222e-16
 1.1694306e-13 2.5656158e-15 3.2464526e-05 1.1048937e-08 6.2590493e-09
 8.1928262e-15 2.2693174e-09 1.1817072e-12 1.8448390e-10 8.2505713e-10
 1.2281693e-05 6.0157196e-10 1.8370826e-06]
[4.60491956e-09 1.08243502e-03 5.07153359e-08 3.98108170e-07
 9.12512362e-04 1.08240125e-10 1.73766068e-07 2.99904599e-07
 1.93777041e-07 3.63268646e-14 2.52379806e-07 1.93094664e-07
 1.22665300e-09 4.74795456e-08 6.51533827e-10 7.86302013e-13
 5.45999183e-06 1.53296132e-05 4.91042016e-08 8.46007373e-04
 7.90578779e-03 3.19440488e-07 4.53976245e-04 1.63172265e-09
 5.93619411e-08 9.56537747e-07 4.05299225e-08 2.53390567e-07
 1.84548117e-04 9.58483815e-01 5.79293726e-07 1.34610031e-02
 3.41208011e-04 3.59876076e-08 1.55302056e-03 4.47571394e-04
 1.43033927e-02 1.80985438e-07]
[7.02338410e-09 5.37868639e-11 2.53487713e-07 3.72835927e-07
 4.37959097e-05 1.46821151e-06 7.72397399e-08 1.40377388e-13
 7.81403114e-17 1.71777729e-19 1.70511438e-16 2.49026320e-11
 1.59962838e-05 5.10526155e-09 8.59703975e-10 1.92116701e-07
 2.39205248e-17 1.40770018e-08 4.18997672e-07 4.14226200e-08
 2.48521592e-10 1.03974808e-05 7.61816466e-07 1.81325086e-05
 6.85111419e-13 3.33496929e-13 9.99903202e-01 4.57539090e-06
 1.51414867e-10 1.41377188e-10 8.80891734e-15 1.30274749e-11
 1.25766615e-08 3.16986183e-13 2.18418364e-07 1.99004197e-13
 1.72938677e-10 1.44434298e-09]
[1.1087588e-04 5.8879447e-03 5.6983653e-04 1.2653068e-03 1.9799816e-06
 8.5817341e-04 3.6429489e-04 1.0588310e-04 9.0436617e-07 1.6771418e-04
 1.5859887e-05 5.0974795e-06 2.3167539e-02 8.2729448e-06 7.2605139e-06
 5.2776676e-07 1.5883795e-06 2.9074855e-04 6.4983848e-03 4.4978171e-04
 6.0925324e-04 2.6370466e-03 8.3557618e-01 1.2710406e-03 6.5801613e-02
 3.7808312e-04 1.9863516e-04 3.6729656e-05 4.9259670e-02 1.0714894e-03
 9.3324925e-05 2.3498819e-03 4.7446156e-04 1.2347613e-06 2.5087671e-04
 2.6712310e-06 2.0446262e-04 5.3821736e-06]
[5.6345866e-09 2.0230538e-14 1.0719478e-12 9.1749178e-11 1.8667452e-10
 3.3850021e-09 5.1924229e-11 7.2965511e-13 1.5554436e-13 2.7459737e-20
 1.1930863e-14 1.5005427e-12 7.4156832e-13 1.4742111e-08 5.7823045e-06
 9.9984622e-01 2.2746531e-19 7.1136741e-09 5.7426252e-14 2.1234657e-06
 4.3469484e-14 1.3004524e-13 2.6393907e-10 1.2360535e-09 2.5152807e-16
 1.5705857e-16 2.9495493e-11 4.1032191e-09 1.5569853e-08 4.0654513e-13
 1.7607439e-17 1.6869753e-10 7.8789954e-11 3.2805797e-10 1.8640697e-10
 1.6568284e-10 5.8627501e-14 1.4578229e-04]
[4.1452081e-11 9.9826545e-01 7.1738856e-07 1.6857380e-03 3.0616095e-06
 2.9140100e-11 6.0883954e-06 2.0098331e-10 4.2346073e-07 4.3295575e-11
 2.8537077e-09 4.5619861e-13 1.9335467e-09 1.3093435e-10 2.9610214e-12
 6.8399605e-16 6.5109438e-09 1.3776100e-06 2.5463666e-07 4.9719836e-07
 2.0282383e-05 5.2810745e-10 3.1030046e-07 2.7486858e-12 2.0669807e-08
 2.2842421e-11 8.5880396e-09 3.3323316e-11 4.9859613e-11 4.7257581e-07
 2.2063400e-09 1.2502938e-06 1.4027694e-05 4.4271921e-08 6.6897363e-09
 7.5204565e-12 1.4601274e-09 7.2601131e-10]
[2.7357067e-10 1.7737865e-06 9.0868946e-04 9.9905962e-01 5.6931444e-08
 1.8627738e-10 4.3949516e-08 4.0163286e-09 2.1751723e-09 1.7270041e-11
 6.5605072e-09 4.3865415e-07 2.2661279e-06 3.9600461e-09 2.3745327e-08
 2.9641388e-13 8.2241963e-10 2.5966324e-06 7.1447680e-08 2.5862698e-06
 1.1622597e-06 1.8212070e-07 3.7627093e-08 4.6799080e-09 8.5568781e-06
 7.6284771e-08 6.6460495e-09 8.7208468e-10 9.0600606e-06 3.3831753e-07
 1.5020646e-08 2.1353469e-06 1.1560332e-07 1.5490115e-09 5.3993499e-08
 3.5607038e-11 1.0562399e-08 1.2320291e-13]
[3.5255753e-11 1.2624424e-16 1.7197892e-18 1.3228610e-06 1.6531331e-21
 3.7712622e-10 1.2361710e-07 3.1178148e-05 7.6245371e-11 9.9388981e-01
 5.4195444e-03 7.5684950e-18 6.8035152e-12 2.3217717e-07 7.4852446e-10
 7.0594637e-09 6.1466269e-16 3.9421874e-08 5.9986120e-11 3.0657438e-11
 1.5314187e-11 3.6395060e-16 6.8266830e-11 3.8017323e-10 1.7885421e-12
 6.5762713e-04 2.9865816e-14 5.1047538e-11 1.1402996e-07 1.0946796e-10
 1.4873499e-13 2.1892832e-08 4.7891944e-14 2.7505410e-20 4.1045514e-13
 9.0331762e-19 4.5268968e-17 8.4002189e-10]
[7.1804538e-06 1.4334241e-06 2.0239170e-08 1.6112095e-05 7.2823508e-07
 6.4355205e-05 3.2139116e-04 1.6237345e-11 8.3265610e-11 3.7153511e-13
 6.8473016e-13 3.1081578e-11 1.3772661e-03 1.1907569e-09 4.9716095e-07
 5.2690825e-06 3.2613198e-14 1.4224696e-08 9.9684143e-01 2.6558487e-06
 1.1846563e-07 6.0265379e-06 4.9570281e-05 7.0825872e-06 2.4494830e-07
 4.1778214e-10 1.2967748e-03 6.9789860e-07 2.9872857e-07 1.8005873e-07
 2.0822816e-11 6.2421799e-07 1.7193871e-08 1.7928234e-09 1.5255576e-08
 4.3206359e-11 1.4792099e-09 1.1991860e-08]
[6.72163480e-07 1.09559186e-01 5.00835267e-06 9.85417773e-06
 1.85050651e-01 4.06558131e-04 6.06868434e-06 5.16645514e-07
 6.78159950e-07 1.66165421e-12 5.69093794e-09 1.40456780e-06
 1.04857207e-08 4.08403977e-08 3.10166071e-09 3.07555759e-09
 1.83043128e-04 2.83093527e-07 1.42972585e-05 3.73907023e-05
 2.79653349e-08 2.32585208e-07 8.87708609e-07 5.59336861e-08
 2.58058985e-03 1.00600209e-05 1.55887690e-07 7.01219824e-06
 1.06877378e-05 3.77365395e-05 2.28570472e-03 5.16522734e-04
 2.63642566e-03 1.60046760e-02 7.70125398e-03 6.72665060e-01
 2.67205294e-04 2.69125771e-08]
[5.93307122e-05 1.53396074e-09 9.51659388e-07 2.49600083e-01
 4.60724223e-05 2.45663017e-04 3.80991187e-05 2.00498653e-05
 1.44681167e-09 4.31350528e-12 4.09332692e-08 7.17573448e-06
 4.22981149e-03 7.78398477e-04 1.04367454e-03 1.15438830e-03
 7.10133108e-08 9.37198001e-06 3.13432105e-02 9.02231503e-03
 2.47732532e-05 4.41143755e-03 6.27340734e-01 5.71807660e-02
 1.34928459e-05 1.79723007e-04 7.26429233e-03 7.68901082e-04
 4.37519375e-05 1.91818195e-04 3.93947921e-05 3.48412577e-05
 1.70621357e-03 9.64709670e-06 2.49320175e-03 1.01937236e-04
 5.74228237e-04 2.21931150e-05]
[6.11080576e-13 1.64803873e-06 2.33208084e-07 8.85410088e-07
 1.08803064e-10 1.31503193e-13 1.37825484e-09 6.65467192e-09
 9.96364534e-01 1.65370218e-11 6.59635930e-07 6.57381402e-18
 1.01709690e-17 8.49877200e-12 1.43893754e-13 1.57570882e-15
 1.99690528e-10 2.10230678e-06 2.45179751e-14 1.69457371e-06
 2.06141044e-06 3.92392756e-15 4.33715225e-14 4.44259252e-16
 1.91533570e-13 8.27732761e-12 8.09689890e-15 2.59076055e-14
 9.05049091e-11 2.10645862e-10 3.83771574e-13 3.62621481e-03
 7.74516493e-11 3.82113557e-13 1.24546073e-09 5.38386900e-16
 1.56712122e-12 9.57687434e-14]
[1.66358419e-07 3.18965768e-16 9.40246144e-17 4.63132449e-11
 2.69410128e-14 1.39253572e-13 1.45640047e-06 7.60964447e-09
 5.68598987e-14 3.62272732e-20 5.79885272e-11 1.50384352e-07
 2.05556225e-10 9.98005092e-01 2.37401589e-04 8.89699222e-05
 2.30220100e-20 3.83455559e-11 5.01411826e-14 1.13204555e-06
 8.72527075e-04 4.49642114e-13 2.29632420e-07 4.26654001e-09
 3.94456942e-14 3.19842481e-12 3.56954050e-10 1.80116083e-04
 6.11216878e-04 1.37759031e-07 1.02962344e-13 2.05969197e-09
 4.31825609e-13 3.72561445e-18 4.21098179e-07 1.65022049e-13
 9.15820978e-12 9.89450200e-07]
[8.3496404e-01 4.0009472e-05 2.9500079e-04 8.6382433e-04 1.0823444e-05
 9.4907526e-03 3.2378241e-02 3.1976947e-03 9.6706463e-06 1.3591405e-07
 1.6613518e-05 3.7863025e-08 2.0701517e-04 2.9086170e-05 5.4270176e-06
 1.1936252e-02 5.9505584e-08 2.1066838e-04 2.8791506e-05 1.1231211e-04
 8.8871107e-05 2.9950152e-06 6.9112633e-03 1.8180435e-04 2.1881418e-07
 4.4393772e-03 2.0044630e-03 2.1824627e-03 5.1609121e-02 1.2212375e-05
 4.8373942e-04 6.1876085e-03 1.7404491e-05 4.2460347e-06 2.8610768e-02
 1.0240159e-04 3.8587379e-05 3.3259275e-03]
[7.24025654e-07 1.46011137e-09 7.54159901e-10 6.41334744e-04
 1.35850166e-13 1.36434835e-07 3.58841426e-05 3.54205221e-01
 3.30385092e-07 1.07401043e-04 6.24434412e-01 1.98092724e-08
 2.81581197e-06 2.01593517e-04 1.00669752e-07 7.72734143e-09
 2.33238384e-09 6.45349937e-05 2.84637602e-09 7.91649995e-07
 2.93153658e-04 1.23330040e-08 5.94767553e-05 6.57147297e-08
 2.96564536e-07 1.99012086e-02 1.73071346e-09 1.55039907e-05
 2.57058946e-05 5.57329486e-07 2.08988331e-06 6.42929308e-06
 1.09436638e-08 3.59118307e-13 4.21934558e-08 5.51851724e-11
 1.23764572e-08 1.15063344e-07]
[2.47148721e-12 4.82408211e-12 1.48489941e-14 4.08072253e-07
 6.63995952e-18 3.60019767e-13 5.27426902e-09 1.35211167e-05
 1.26214073e-09 9.98908639e-01 1.07489619e-03 4.94282271e-17
 4.04139260e-13 4.40027986e-10 1.43280543e-13 8.63144666e-14
 8.48815240e-14 5.35352171e-07 5.40781558e-13 2.69123161e-11
 2.48036458e-09 1.44907421e-15 2.19668797e-10 7.61333271e-14
 4.55202098e-10 1.61735932e-06 2.74835120e-14 1.10852184e-13
 2.43865912e-07 9.89200988e-09 1.75738216e-10 6.92493032e-08
 1.04946184e-12 1.49673187e-17 3.00828026e-12 1.21149005e-16
 1.28424527e-14 2.81587670e-11]
[3.3761144e-06 1.8091248e-08 9.8203174e-08 4.9767963e-09 2.4806516e-07
 2.9914397e-06 4.7536509e-05 1.5132224e-07 4.6288550e-12 6.1202611e-15
 1.1465194e-09 1.3897020e-06 6.0686925e-05 3.4155623e-06 6.7862786e-08
 8.3373052e-08 1.8453527e-11 8.8701873e-09 1.3286991e-07 6.6488450e-05
 2.7203012e-05 1.4238305e-04 9.7758180e-01 3.2812986e-06 8.2724910e-05
 1.2060734e-07 2.8245561e-04 5.0702270e-06 2.0494707e-02 9.1231847e-04
 8.2697024e-06 3.4498307e-06 1.3857582e-04 3.0871678e-07 2.2573391e-05
 7.1828583e-07 1.0709637e-04 1.6884967e-07]
[2.44560505e-09 1.02525682e-05 5.42110820e-06 6.04372801e-08
 1.27837347e-06 1.94881181e-07 6.10446627e-09 6.60314399e-04
 3.13521564e-09 2.48060201e-11 3.81657458e-07 1.11104426e-04
 1.35172385e-11 6.54370469e-09 1.58675221e-06 1.95483341e-09
 9.98473823e-01 3.75621858e-05 7.73088885e-11 1.00415882e-05
 6.31909547e-09 5.45801981e-07 1.24967798e-07 6.56937289e-07
 5.12605425e-09 6.69512019e-06 3.96335770e-10 9.33350748e-05
 4.21459504e-07 6.71169328e-05 2.87833103e-07 1.91585950e-05
 1.30685081e-08 5.06850884e-05 6.68455442e-08 4.36222501e-04
 1.02602280e-05 2.31465879e-06]
[1.5472279e-01 3.1159223e-06 5.8855682e-07 1.9843990e-06 3.5049932e-04
 5.3857126e-05 8.1245601e-03 3.5734612e-08 1.1029174e-09 1.4950510e-12
 3.1901988e-09 3.0109907e-06 2.2622017e-04 5.0046488e-05 2.0491163e-05
 2.0344851e-03 1.0778083e-09 2.0124458e-05 1.1837471e-06 9.4764728e-05
 4.8017259e-06 3.2409177e-06 6.6622881e-05 2.5673519e-04 1.3346512e-07
 2.8720156e-05 1.1445383e-02 1.6455262e-04 5.6368578e-03 1.4588213e-05
 6.2171335e-07 1.1126832e-04 3.0415659e-04 2.6487712e-07 7.4682432e-01
 1.0904218e-05 8.0506315e-06 6.9411054e-02]
[3.02227150e-08 1.45520401e-10 1.55525825e-07 2.03644913e-06
 7.50688933e-09 4.08873428e-03 3.48708636e-06 1.03495768e-09
 7.57205001e-08 3.74863595e-12 9.41152755e-13 1.07800895e-11
 4.59201314e-04 1.64243386e-09 1.31266219e-07 2.00522505e-03
 1.38191943e-15 4.61078749e-08 9.90242660e-01 2.77225936e-05
 2.46454270e-08 7.51815560e-06 2.87438976e-03 3.35392251e-05
 1.60810960e-05 2.24825012e-08 2.27936893e-04 8.45802697e-06
 1.53921394e-06 7.99064921e-08 4.52415362e-11 1.22387289e-09
 8.21525692e-09 4.46958293e-09 8.50660683e-07 1.42353448e-10
 5.43854775e-08 2.28390320e-08]
[4.7154794e-03 4.2103991e-08 3.1056445e-07 2.4823923e-06 1.7957345e-06
 1.3701525e-05 2.0171453e-04 2.3819628e-06 6.1519387e-11 1.4273543e-10
 1.1374264e-06 3.6477365e-02 9.2137343e-04 2.0265956e-01 6.9023222e-01
 9.3783063e-05 8.7585317e-09 3.2701807e-03 5.0659301e-06 2.3064672e-03
 6.5628535e-07 3.0919091e-05 1.3303399e-03 2.6206316e-02 7.8898547e-06
 1.9531377e-05 7.8788878e-05 3.4165240e-04 1.9566363e-02 1.4206967e-05
 1.0436307e-08 5.3378935e-05 1.1071231e-04 2.7192115e-07 7.7433483e-04
 7.7994633e-07 1.0708641e-05 1.0548157e-02]
[7.52348285e-07 1.27963468e-01 1.61515409e-03 2.16712169e-06
 4.93308471e-05 2.06806632e-07 5.41311440e-09 1.90628597e-07
 1.01559801e-08 7.94988956e-15 2.25499548e-08 1.19193811e-02
 1.01708872e-08 3.66285785e-05 8.54959289e-05 3.51508822e-11
 1.31072557e-06 7.55436369e-04 1.26093084e-06 4.08717990e-01
 1.05302592e-04 9.11138522e-06 1.02512620e-03 1.36636183e-04
 5.91581338e-05 4.78671026e-11 1.06171587e-08 1.22471226e-06
 3.18993330e-01 2.81640980e-03 4.96964162e-07 6.83273450e-02
 7.00504461e-05 2.22582166e-05 5.76748134e-05 8.24609961e-05
 5.71345091e-02 1.01517935e-05]
[3.43395186e-06 5.67397684e-09 8.96386628e-04 3.43301366e-07
 8.89160674e-08 9.98840749e-01 8.19505840e-06 7.32163841e-09
 3.09077164e-09 7.83316120e-12 1.94379387e-12 9.78318925e-16
 2.55902728e-06 7.40619458e-12 7.56039762e-12 7.50201798e-05
 5.21559394e-15 3.08116554e-09 7.86791645e-08 9.67538605e-10
 2.61470096e-10 6.88811230e-09 4.03266611e-08 6.07506356e-09
 4.69070859e-11 9.75486136e-10 1.13162314e-04 1.11063127e-06
